# name,ESI_Global,X-Coord,Y-Coord,Z-Coord,No. of Planets,Sum of ESI
TRAPPIST-1,0.9327251274,3.382654993,0.2460394977,11.77160697,6,4.958436805
TOI-700,0.8837016923,-8.316273683,-28.12515994,-3.845096899,2,1.58815163
K2-239,0.8039558666,4.781585402,1.260737977,-46.21629054,2,1.564197392
LHS 1140,0.7543878923,10.94835596,-0.6405379908,12.23056933,2,1.457138397
GJ 273,0.8957394631,-1.768302416,0.321237991,-1.414401893,,0.8957394631
K2-3,0.8716840137,2.278033572,-0.1523838694,-44.59791315,,0.8716840137
K2-18,0.8276455528,2.250258432,0.6509419478,-37.74952798,,0.8276455528
TOI-237,0.7597612894,-15.61291114,2.202654809,37.845187,,0.7597612894
K2-155,0.7465595113,-31.86440388,27.1629081,34.04560701,,0.7465595113
TOI-2257,0.7451157869,1.368007738,-14.36594042,-55.88878799,,0.7451157869
TOI-712,0.7410094443,56.02600768,-53.40904002,-3.004075091,,0.7410094443
K2-286,0.7362835471,-28.75864803,17.67491774,-45.53641945,,0.7362835471
Kepler-538,0.7219284261,103.0966966,-105.8721463,72.30576693,,0.7219284261
TOI-1266,0.7182388406,2.692512006,-10.16147753,-34.28639745,,0.7182388406
LTT 3780,0.7147768256,-9.447009843,-1.911602541,-19.86374892,,0.7147768256
K2-240,0.7038412468,39.18095028,15.92952816,-46.97552434,,0.7038412468
