# name,planet_status,mass_eu,mass_jup,star_mass,star_radius,star_teff,star_distance,radius_eu,Radius_estimate (EU),radius_jup,geometric_albedo,ra,dec,semi_major_axis,molecules,star_name,Bulk Density (g/cm3),Escape Vel (EU),ESI_radius,ESI_Bulk_Dens,ESI_Internal,ESI_Esc_Velocity,Effective Temperature (K),ESI_Eff_Temp,ESI_Surface,ESI_Global,X-Coord,Y-Coord,Z-Coord,Ra_Radians ,Dec_Radians,,Revenue1,Revenue2
TRAPPIST-1 d,Confirmed,0.413179,0.0013,0.08,0.117,2560,12.1,0.7560586268,0.7560586268,0.0689,0.3,346.6208333,-5.041388896,0.02144,H2O,TRAPPIST-1,5.270844394,0.7392320103,0.8610858604,0.9778166165,0.94684,0.85007,293.7698928,0.9900821737,0.9188220246,0.9327251274,-2.789038185,0.2460394977,11.77160697,6.05,-0.09,,66.83,134.24
GJ 273 b,Confirmed,2.9303926,0.00922,0.29,0.293,3382,3.8,0,1.342572266,,0.3,111.8520417,5.225777789,0.091,,GJ 273,6.676074409,1.477350181,0.8537623487,0.9043109069,0.90586,0.80731,297.6649063,0.9834975492,0.8857320614,0.8957394631,3.512303153,0.321237991,-1.414401893,1.95,0.09,,49.90,100.37
TRAPPIST-1 e,Confirmed,0.63566,0.002,0.08,0.117,2560,12.1,0.8987111979,0.8987111979,0.0819,0.3,346.6208333,-5.041388896,0.02817,H2O,TRAPPIST-1,4.828061561,0.8409917709,0.9466539186,0.9340361406,0.94920,0.91363,260.1146083,0.9491248887,0.8375324507,0.891621141,-2.789038185,0.2460394977,11.77160697,6.05,-0.09,,48.16,96.89
TOI-700 d,Confirmed,2.2597713,0.00711,0.416,0.42,3480,31.127,1.165361773,1.165361773,0.1062,0.3,97.09583334,-65.57944447,0.163,,TOI-700,7.872099216,1.392487295,0.9236331891,0.8234881405,0.88114,0.83595,276.3853062,0.9794206304,0.8862726055,0.8837016923,12.77030686,-28.12515994,-3.845096899,1.69,-1.14,,44.90,90.37
K2-3 d,Confirmed,2.8000823,0.00881,0.6,0.56,3896,45,1.481392085,1.481392085,0.135,0.3,172.334946,-1.454787,0.2086,,K2-3,4.748638525,1.374800778,0.8059991859,0.9257833802,0.90238,0.84218,311.5532383,0.9607153514,0.8420352689,0.8716840137,6.0002435,-0.1523838694,-44.59791315,3.01,-0.03,,40.16,80.89
TRAPPIST-1 c,Confirmed,1.3793822,0.00434,0.08,0.117,2560,12.1,1.033792209,1.033792209,0.09421,0.3,346.6208333,-5.041388896,0.01521,H2O,TRAPPIST-1,6.88324498,1.155087974,0.9833846303,0.8891940745,0.93463,0.92804,343.164847,0.9125983532,0.7547933351,0.8399118235,-2.789038185,0.2460394977,11.77160697,6.05,-0.09,,28.83,58.23
K2-18 b,Confirmed,8.9214881,0.02807,0.36,0.41,3457,38.07,2.315360962,2.315360962,0.211,0.3,172.560455,7.588391,0.1429,"CH4, H2O, NH3",K2-18,3.96268504,1.962902273,0.6032525638,0.8366550821,0.78705,0.67501,288.2735373,0.9995253343,0.8703304008,0.8276455528,4.886134617,0.6509419478,-37.74952798,3.01,0.13,,24.93,50.41
K2-239 d,Confirmed,1.303103,0.0041,0.4,0.36,3420,49,1.075380921,1.075380921,0.098,0.3,160.594299,4.441349,0.0685,,K2-239,5.776970346,1.100772547,0.9636785133,0.9763470322,0.97692,0.95203,375.8093948,0.8677189635,0.6616152311,0.8039558666,16.23160585,1.260737977,-46.21629054,2.80,0.08,,18.13,36.80
TRAPPIST-1 g,Confirmed,1.3412426,0.00422,0.08,0.117,2560,12.1,1.102814107,1.102814107,0.1005,0.3,346.6208333,-5.041388896,0.0451,H2O,TRAPPIST-1,5.513263814,1.10278765,0.9511064212,0.9997039158,0.98566,0.95112,211.8650902,0.8476890839,0.6196724525,0.7815276386,-2.789038185,0.2460394977,11.77160697,6.05,-0.09,,12.59,25.71
TRAPPIST-1 f,Confirmed,0.667443,0.0021,0.08,0.117,2560,12.1,1.0230384,1.0230384,0.09323,0.3,346.6208333,-5.041388896,0.0371,H2O,TRAPPIST-1,3.436740578,0.8077007842,0.9886119807,0.7682665095,0.86563,0.89362,230.5167507,0.8891390699,0.6926747081,0.774337488,-2.789038185,0.2460394977,11.77160697,6.05,-0.09,,10.99,22.52
